Type,Residuals
Train,219.48660037846275
Train,-288.6886685654699
Train,-111.69433114453568
Train,218.83970493271772
Train,-278.86699982469145
Train,-250.47135177505152
Train,-161.25383859995418
Train,100.18884899611658
Train,288.16919176081865
Train,535.76187669301
Train,-13.54323778464095
Train,-140.17431741587097
Train,393.92665250358186
Train,-235.28415298343316
Train,271.11670345646235
Train,124.91734894476213
Train,2.1415702026733925
Train,9.813716364613356
Train,-345.57443596558005
Train,479.8828529350467
Train,-289.086541218237
Train,594.2098660409465
Train,90.7645822745626
Train,-112.7317493789269
Train,590.7023531388295
Train,-267.8112586987945
Train,-49.834147756937455
Train,-279.74629162510246
Train,457.56741310599045
Train,-567.1816895697593
Train,1179.9945140095406
Train,170.79336284190867
Train,-530.5205875889005
Train,515.0029589437763
Train,-532.6254099615289
Train,618.75579572467
Train,-277.11009722862036
Train,-58.265404289780236
Train,-387.09138895342767
Train,-189.67774255959648
Train,-572.0196102315413
Train,-522.869850301794
Train,-11.792665373435739
Train,-233.49748203389026
Train,597.0871335874035
Train,216.7191425616611
Train,-485.8060558848956
Train,591.6995269102008
Train,-128.3183514583834
Train,526.086424809082
Train,257.50146823124396
Train,96.39976872789339
Train,-330.50387272215994
Train,67.7847001567543
Train,-418.15797710587776
Train,-422.2241409486378
Train,126.0974182309401
Train,5.19384486947456
Train,-349.3846503700106
Train,-454.43457435149867
Train,-293.4096892971247
Train,-452.79188630685894
Train,144.12921032060513
Train,-416.55367242113516
Train,-171.25680030707372
Train,-185.1908022320531
Train,-337.07170689714076
Train,673.8374820018053
Train,488.2629262325281
Train,620.6173019822236
Train,173.8153071633642
Train,-568.734609067571
Train,-326.87987739051823
Train,-195.86701035916485
Train,524.3174813760124
Train,539.1201610505377
Train,78.1006096093497
Train,-17.710402889906618
Train,-502.40851367292635
Train,114.49628656029654
Train,-202.2814218178537
Train,-886.1533360863577
Train,615.7898670661889
Train,-336.7614924399368
Train,683.9686631705954
Train,399.4632048336298
Train,-57.987514336637105
Train,-256.2619625914722
Train,-602.6302716932878
Train,529.7635815829472
Train,474.56404886237215
Train,-513.2669453827916
Train,325.3267405817751
Train,-287.4400189213611
Train,-409.750648788473
Train,-297.4541823565751
Train,510.3909623133768
Train,-120.44356337598583
Train,-207.8586695289937
Train,-208.07253381899318
Train,-254.27003951102233
Train,4.468863422472168
Train,-198.77214313872355
Train,192.88955044215436
Train,1242.278641921639
Train,399.02340397788794
Train,-472.45673565206744
Train,501.999645011565
Train,-682.2711970493838
Train,228.0694990274169
Train,154.87868684172827
Train,-392.6234854658942
Train,-73.42760259472925
Train,372.4376223270483
Train,9.083752331873256
Train,-244.71075981220292
Train,-477.8643774736329
Train,-55.148561187834275
Train,560.4755009901855
Train,-102.8304239584877
Train,-168.79749720545078
Train,513.496086119847
Train,498.7474321828113
Train,-76.21635493160284
Train,-678.7366124583386
Train,268.52967060436094
Train,-181.49526956410136
Train,-77.49959545670208
Train,121.93370458245772
Train,-32.31716293244517
Train,371.1452606382518
Train,219.42213975606865
Train,395.34961983809626
Train,483.22725736255234
Train,241.0853886426994
Train,308.8793295047835
Train,232.60943601656072
Train,-298.0764759546528
Train,83.29361847450491
Train,-66.86246483012155
Train,-681.4130721708643
Train,377.21803745341094
Train,-227.43439878000208
Train,-282.6285297214563
Train,-295.3314754677863
Train,-37.18926372730857
Train,621.7269774873021
Train,-173.9759187198515
Train,130.57452635221853
Train,1231.7301410189139
Train,-358.5128063500724
Train,-329.5692864537341
Train,352.09685536110555
Train,41.827857893529654
Train,-161.2526928696816
Train,870.6353617202476
Train,-800.3943752236373
Train,330.5115262203326
Train,-149.71756726872627
Train,-354.3428097728647
Train,-434.4181509605696
Train,-443.00489481910336
Train,623.0211287443799
Train,79.28603684928021
Train,258.55487039311265
Train,-178.92687653301618
Train,348.70587553420046
Train,867.9736790768402
Train,-276.32087495103406
Train,-373.28816208110493
Train,356.3846542192414
Train,-595.2055550910336
Train,767.9548861662406
Train,867.4883569016383
Train,-181.0368478564942
Train,216.211533577296
Train,121.57991891770052
Train,143.63376090262318
Train,538.8494131107345
Train,477.318571928824
Train,-57.010862452074434
Train,-282.6495790191766
Train,337.6364102036532
Train,339.99763585299115
Train,283.2764054312793
Train,-330.8989922096107
Train,588.6815503809485
Train,459.8229012367374
Train,-400.4869558274986
Train,594.4341038732055
Train,-292.13056404742383
Train,-53.97293630926288
Train,-635.5717683388357
Train,-87.67171423358786
Train,183.30569655717318
Train,375.73080908273187
Train,-117.98211856623493
Train,744.8471635120623
Train,34.73107725774298
Train,-18.912014792496848
Train,183.62502808745558
Train,-279.36318391048553
Train,-380.891071830858
Train,-300.77487214331995
Train,294.6947470063369
